year,href,title,legacy
2025,assets/files/2025/06/ArielFrancaisEuropeanSecurityintheageofTrumpandPutinFOGGSPaperJune2025.pdf,ArielFrancaisEuropeanSecurityintheageofTrumpandPutinFOGGSPaperJune2025,/wp-content/uploads/2025/06/ArielFrancaisEuropeanSecurityintheageofTrumpandPutinFOGGSPaperJune2025.pdf
2025,assets/files/2025/02/Discussion-Note-FOGGS-open-consultation-on-climate-action-20-January-2025-FINALb.pdf,Discussion Note FOGGS open consultation on climate action 20 January 2025 FINALb,/wp-content/uploads/2025/02/Discussion-Note-FOGGS-open-consultation-on-climate-action-20-January-2025-FINALb.pdf
2025,assets/files/2025/02/Discussion-Note-FOGGS-open-consultation-on-Decolonising-the-UN-10-February-2025_Final.pdf,Discussion Note FOGGS open consultation on Decolonising the UN 10 February 2025 Final,/wp-content/uploads/2025/02/Discussion-Note-FOGGS-open-consultation-on-Decolonising-the-UN-10-February-2025_Final.pdf
2025,assets/files/2025/06/DiscussionSummary_OpenConsultation8.pdf,DiscussionSummary OpenConsultation8,/wp-content/uploads/2025/06/DiscussionSummary_OpenConsultation8.pdf
2025,assets/files/2025/03/FOGGSOpenConsultationMonday6-Discussion-Note-March-2025.pdf,FOGGSOpenConsultationMonday6 Discussion Note March 2025,/wp-content/uploads/2025/03/FOGGSOpenConsultationMonday6-Discussion-Note-March-2025.pdf
2025,assets/files/2025/06/FrancisODonnell_FOGGSPaper_WorldPeaceReclaimingtheUNanditsIdeals.pdf,FrancisODonnell FOGGSPaper WorldPeaceReclaimingtheUNanditsIdeals,/wp-content/uploads/2025/06/FrancisODonnell_FOGGSPaper_WorldPeaceReclaimingtheUNanditsIdeals.pdf
2025,assets/files/2025/06/SudhaReddyJudgementDayinGazaFOGGSPaperJune2025.pdf,SudhaReddyJudgementDayinGazaFOGGSPaperJune2025,/wp-content/uploads/2025/06/SudhaReddyJudgementDayinGazaFOGGSPaperJune2025.pdf
2025,assets/files/2025/04/Summary_FOGGS-Open-Consultation-7.pdf,Summary FOGGS Open Consultation 7,/wp-content/uploads/2025/04/Summary_FOGGS-Open-Consultation-7.pdf
2025,assets/files/2025/02/UN-FFD4-Townhall_7Feb2025_FOGGS-intervention.pdf,UN FFD4 Townhall 7Feb2025 FOGGS intervention,/wp-content/uploads/2025/02/UN-FFD4-Townhall_7Feb2025_FOGGS-intervention.pdf
2025,assets/files/2025/03/The-ROLE-OF-MIDDLE-POWERS-GK-presentation-at-Cape-Town-26Mar2025c.pdf,The ROLE OF MIDDLE POWERS GK presentation at Cape Town 26Mar2025c,/wp-content/uploads/2025/03/The-ROLE-OF-MIDDLE-POWERS-GK-presentation-at-Cape-Town-26Mar2025c.pdf
2025,assets/files/2025/04/ECOCIDE_GREECE_SPARTA_070425-Παρουσίαση-Χριστίνας-Ευθυμιάτου-στο-sparta.komvos.pdf,ECOCIDE GREECE SPARTA 070425 Παρουσίαση Χριστίνας Ευθυμιάτου στο sparta.komvos,/wp-content/uploads/2025/04/ECOCIDE_GREECE_SPARTA_070425-Παρουσίαση-Χριστίνας-Ευθυμιάτου-στο-sparta.komvos.pdf
2025,assets/files/2025/05/UN-CHARTER-AT-80-Call-by-former-UN-system-staff_PRG-plus-23-May-2025.pdf,UN CHARTER AT 80 Call by former UN system staff PRG plus 23 May 2025,/wp-content/uploads/2025/05/UN-CHARTER-AT-80-Call-by-former-UN-system-staff_PRG-plus-23-May-2025.pdf
2025,assets/files/2025/06/COMMUNICATO-STAMPA-Appello-Carta-delle-Nazioni-Unite-a-80anni.pdf,COMMUNICATO STAMPA Appello Carta delle Nazioni Unite a 80anni,/wp-content/uploads/2025/06/COMMUNICATO-STAMPA-Appello-Carta-delle-Nazioni-Unite-a-80anni.pdf
2025,assets/files/2025/06/COMMUNIQUE-DE-PRESSE-Appel-Charte-des-Nations-Unies-a-80-ans.pdf,COMMUNIQUE DE PRESSE Appel Charte des Nations Unies a 80 ans,/wp-content/uploads/2025/06/COMMUNIQUE-DE-PRESSE-Appel-Charte-des-Nations-Unies-a-80-ans.pdf
2025,assets/files/2025/06/COMUNICADO-DE-PRENSA-Llamamiento-para-la-Carta-ONU.pdf,COMUNICADO DE PRENSA Llamamiento para la Carta ONU,/wp-content/uploads/2025/06/COMUNICADO-DE-PRENSA-Llamamiento-para-la-Carta-ONU.pdf
2025,assets/files/2025/06/Club-de-Madrid-member-signatories.pdf,Club de Madrid member signatories,/wp-content/uploads/2025/06/Club-de-Madrid-member-signatories.pdf
