href,title
"assets/files/campaign_exports/FOGGS%20Update%20October%202025%20%28copy%2001%29__FOGGS.html","October 2025"
"assets/files/campaign_exports/FOGGS%20Update%20September%202025%20%28copy%2001%29__FOGGS.html","September 2025"
"assets/files/campaign_exports/FOGGS-Update-2025-08.html","August 2025"
"assets/files/campaign_exports/FOGGS-Update-2025-07.html","July 2025"
"assets/files/campaign_exports/FOGGS%20Update%20June%202025__FOGGS%20%28Emailing%20List%2C%20Team%29.html","June 2025"
"assets/files/campaign_exports/FOGGS%20May%202025%20Update%20%28copy%2002%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","May 2025"
"assets/files/campaign_exports/FOGGS%20April%202025%20Update%20%28copy%2001%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","April 2025"
"assets/files/campaign_exports/FOGGS%20March%202025%20Update%20%28copy%2001%29__FOGGS.html","March 2025"
"assets/files/campaign_exports/FOGGS%20Feb%202025%20Update%20%28copy%2001%29__FOGGS.html","February 2025"
"assets/files/campaign_exports/FOGGS%20Jan%202025%20Update%20%28copy%2001%29__FOGGS.html","January 2025"
"assets/files/campaign_exports/FOGGS%20Dec%202024%20Update__FOGGS%20%28Emailing%20List%2C%20Team%29.html","December 2024"
"assets/files/campaign_exports/FOGGS%20Nov%202024%20Update%20%28copy%2001%29__FOGGS.html","November 2024"
"assets/files/campaign_exports/FOGGS%20Oct%202024%20Update__FOGGS%20%28Emailing%20List%2C%20Team%29.html","October 2024"
"assets/files/campaign_exports/FOGGS%20Sep%202024%20Update%20%28copy%2001%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","September 2024"
"assets/files/campaign_exports/FOGGS%20July-Aug%202024%20Update%20%28copy%2001%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","July-August 2024"
"assets/files/campaign_exports/FOGGS%20June%202024%20Update__FOGGS%20%28Emailing%20List%2C%20Team%29.html","June 2024"
"assets/files/campaign_exports/FOGGS%20May%202024%20Update__FOGGS%20%28Emailing%20List%2C%20Team%29.html","May 2024"
"assets/files/campaign_exports/FOGGS%20April%202024%20Update%20%28copy%2002%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","April 2024"
"assets/files/campaign_exports/FOGGS%20March%202024%20Update%20%28copy%2001%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","March 2024"
"assets/files/campaign_exports/FOGGS%20Feb%202024%20Update%20%28copy%2001%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","February 2024"
"assets/files/campaign_exports/FOGGS%20Jan%202024%20Update%20%28copy%2001%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","January 2024"
"assets/files/campaign_exports/FOGGS%20Dec%202023%20Update%20%28copy%2001%29__FOGGS.html","December 2023"
"assets/files/campaign_exports/FOGGS%20Nov%202023%20Update%20%28copy%2001%29__FOGGS.html","November 2023"
"assets/files/campaign_exports/FOGGS%20Sep-Oct%202023%20Update__FOGGS%20%28Emailing%20List%2C%20Team%29.html","September-October 2023"
"assets/files/campaign_exports/FOGGS-Update-2023-07.html","July-August 2023"
"assets/files/campaign_exports/FOGGS%20June%20Update__FOGGS%20%28Emailing%20List%2C%20Team%29.html","June 2023"
"assets/files/campaign_exports/FOGGS%20April-May%20Update__FOGGS%20%28Emailing%20List%2C%20Team%29.html","April-May 2023"
"assets/files/campaign_exports/FOGGS%20March%20Update__FOGGS%20%28Emailing%20List%2C%20Team%29.html","March 2023"
"assets/files/campaign_exports/FOGGS%20January-February%20Update%20%28copy%2002%29__Former%20UN%20Staff.html","January-February 2023"
"assets/files/campaign_exports/FOGGS%20Update%20December%20%28copy%2001%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","December 2022"
"assets/files/campaign_exports/FOGGS%20Update%20September%20-%20October%20%28copy%2001%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","September-October 2022"
"assets/files/campaign_exports/FOGGS%20Update%20July%20-%20August%20%28copy%2001%29__FOGGS%20%28Emailing%20List%2C%20Team%29.html","July-August 2022"
"assets/files/campaign_exports/FOGGS-Update-2022-06.html","June 2022"
"assets/files/campaign_exports/FOGGS-Update-2022-05.html","May 2022"
"assets/files/campaign_exports/FOGGS-Update-2022-03.html","March 2022"
"assets/files/campaign_exports/FOGGS-Update-2022-01.html","January 2022"
"assets/files/campaign_exports/FOGGS-Update-2021-12.html","December 2021"
"assets/files/campaign_exports/FOGGS-Update-2021-11.html","November 2021"
"assets/files/campaign_exports/FOGGS-Update-2021-10.html","October 2021"
"assets/files/campaign_exports/FOGGS-Update-2021-05.html","May 2021"
"assets/files/campaign_exports/FOGGS-Update-2021-04.html","April 2021"
"assets/files/campaign_exports/FOGGS-Update-2021-03.html","March 2021"
"assets/files/campaign_exports/FOGGS-Update-2021-02.html","February 2021"
"assets/files/campaign_exports/FOGGS-Update-2021-01.html","January 2021"
