Campaign Name,Audience Name,Send Time,Status,Emails Sent,Open Rate,Click Rate,Unsubscribed
Relaunched FOGGS: The #GrandNarrative (copy 01),"FOGGS (Emailing List, Team)",2018-10-18T09:05:39+00:00,,1838,0.28783783783783784,0.04054054054054054,11
FOGGS Newsletter: UNFCCC COP24 and the #UN2100 Initiative,"FOGGS (Emailing List, Team)",2018-11-29T15:28:55+00:00,,1672,0.3218689162881246,0.035691109669046074,15
FOGGS Update: #COP24 #UN2100 #Katoikos,FOGGS,2018-11-29T15:34:00+00:00,,9,0.8888888888888888,0.3333333333333333,0
New Year’s Resolution: The FOGGS Hexalogue,"FOGGS (Emailing List, Team)",2018-12-24T11:27:16+00:00,,1607,0.2842174197773412,0.011787819253438114,14
New Year’s Resolution: The FOGGS Hexalogue,FOGGS,2018-12-24T11:33:20+00:00,,19,0.47368421052631576,0.10526315789473684,0
,Former UN Staff,2018-12-25T16:55:56+00:00,,2,1,0,0
"FOGGS Update: A modern, effective, ethical and people-centred UN","FOGGS (Emailing List, Team)",2019-02-21T10:27:23+00:00,,1670,0.3064312736443884,0.0416141235813367,9
"FOGGS Update: A modern, effective, ethical and people-centred UN",FOGGS,2019-02-21T10:39:51+00:00,,19,0.5789473684210527,0.15789473684210525,0
"FOGGS Update: A Global Holiday, ELFOVA, Katoikos.world and more",Former UN Staff,2019-09-29T13:53:56+00:00,,2,0.5,0.5,0
"FOGGS Update: A Global Holiday, ELFOVA, Katoikos.world and more","FOGGS (Emailing List, Team)",2019-10-01T09:39:52+00:00,,1652,0.3243064729194188,0.026420079260237782,8
"FOGGS Update: A Global Holiday, ELFOVA, Katoikos and more",FOGGS,2019-10-01T09:59:02+00:00,,30,0.5666666666666667,0.16666666666666666,0
FOGGS Update: Closing a productive 2019!,Former UN Staff,2019-12-17T11:10:11+00:00,,2,0.5,0.5,0
FOGGS Update: Closing a productive 2019!,"FOGGS (Emailing List, Team)",2019-12-17T11:16:59+00:00,,1583,0.2782608695652174,0.022073578595317726,13
FOGGS Update: Closing a productive 2019!,FOGGS,2019-12-17T11:26:40+00:00,,75,0.4189189189189189,0.06756756756756757,0
"FOGGS Update: New year, new faces and a renewed focus!","FOGGS (Emailing List, Team)",2020-02-12T13:04:16+00:00,,1523,0.24812030075187969,0.036226930963773066,10
"FOGGS Update: New year, new faces and a renewed focus!",FOGGS,2020-02-12T13:20:53+00:00,,75,0.3972602739726027,0.0821917808219178,0
"FOGGS Update: New year, new faces and a renewed focus! (copy 01)",Former UN Staff,2020-02-13T09:14:56+00:00,,2,1,0.5,0
FOGGS Update - in the era of COVID-19 (DRAFT),Former UN Staff,2020-04-02T20:08:14+00:00,,3,0.3333333333333333,0.3333333333333333,0
FOGGS Update: In the era of COVID-19,"FOGGS (Emailing List, Team)",2020-04-03T08:35:37+00:00,,1484,0.26805555555555555,0.02013888888888889,6
FOGGS Update: In the era of COVID-19,FOGGS,2020-04-03T08:37:55+00:00,,75,0.4027777777777778,0.041666666666666664,0
FOGGS Update: #Engage4Better,Former UN Staff,2020-05-05T09:01:23+00:00,,3,1,0.6666666666666666,0
FOGGS Update: #Engage4Better,"FOGGS (Emailing List, Team)",2020-05-05T09:23:39+00:00,,1902,0.2937024972855592,0.02062975027144408,18
FOGGS Update: #Engage4Better,FOGGS,2020-05-05T09:27:37+00:00,,74,0.36619718309859156,0.056338028169014086,0
FOGGS Update: Action Plan for a stronger UN system!,Former UN Staff,2020-06-01T18:27:12+00:00,,3,0.6666666666666666,0,0
FOGGS Update: Action Plan for a stronger UN system! (copy 01),Former UN Staff,2020-06-03T19:37:29+00:00,,3,0.6666666666666666,0,0
FOGGS Update: Action Plan for a stronger UN system! (copy 02),Former UN Staff,2020-06-05T18:52:43+00:00,,3,1,1,0
FOGGS Update: Improving global governance for a better post-COVID-19 world,"FOGGS (Emailing List, Team)",2020-06-06T10:46:21+00:00,,1852,0.278941565600882,0.025909592061742006,8
FOGGS Update: Improving global governance for a better post-COVID-19 world,FOGGS,2020-06-06T10:53:40+00:00,,74,0.3888888888888889,0.027777777777777776,0
FOGGS Update: Insights on UN system under crisis conditions and more!,Former UN Staff,2020-06-28T11:50:34+00:00,,3,1,0.3333333333333333,0
FOGGS Update: WEBINAR on UBI - INSIGHTS PAPER on UN system under crisis conditions and more!,Former UN Staff,2020-06-29T11:16:56+00:00,,3,1,0.6666666666666666,0
"FOGGS Update: #webinar on basic income, #paper on UN system under crisis conditions and #more!","FOGGS (Emailing List, Team)",2020-06-29T16:20:38+00:00,,1833,0.2623679822123402,0.011673151750972763,8
"FOGGS Update: #webinar on basic income, #paper on UN system under crisis conditions and #more!",FOGGS,2020-06-29T16:28:25+00:00,,74,0.2916666666666667,0.013888888888888888,0
"FOGGS Update: WEBINARS on UN75+25 - COVID Education Alliance, and  more!","FOGGS (Emailing List, Team)",2020-08-27T15:37:22+00:00,,1888,0.2755267423014587,0.02215018908698001,10
"FOGGS Update: WEBINARS on UN75+25 - COVID Education Alliance, and  more!",FOGGS,2020-08-27T16:17:13+00:00,,73,0.36619718309859156,0.04225352112676056,1
"FOGGS Update: UN75+25 Alliance, a COVIDEA Primer, and more !",Former UN Staff,2020-09-30T15:01:07+00:00,,4,1,0.5,0
"FOGGS Update: UN75+25 Alliance, a COVIDEA Primer, and more !","FOGGS (Emailing List, Team)",2020-10-09T09:23:05+00:00,,1950,0.3140925637025481,0.0249609984399376,7
"FOGGS Update: UN75+25 Alliance, a COVIDEA Primer, and more ! (copy 01)",FOGGS,2020-10-09T09:26:03+00:00,,71,0.30434782608695654,0.028985507246376812,0
"Webinar on ""For the Betterment of the World: Different perspectives on moving forward""","FOGGS (Emailing List, Team)",2020-10-21T16:01:40+00:00,,1938,0.2436098069900887,0.00782472613458529,3
"Webinar on ""For the Betterment of the World: Different perspectives on moving forward"" (copy 01)",FOGGS,2020-10-21T16:08:36+00:00,,70,0.32857142857142857,0.02857142857142857,0
"FOGGS Update: New YouTube Channel, ","FOGGS (Emailing List, Team)",2020-11-27T17:00:58+00:00,,1937,0.24022928608650337,0.015112037519541427,8
"FOGGS Update: New YouTube Channel,  (copy 01)",FOGGS,2020-11-27T17:16:32+00:00,,79,0.27848101265822783,0.012658227848101266,1
TEST Daniel,,,,0,0,0,0
FOGGS Update: Looking back at 2020 & forward to the future of FOGGS,"FOGGS (Emailing List, Team)",2020-12-23T17:07:07+00:00,,1942,0.26291079812206575,0.01773604590505999,12
FOGGS Update: Looking back at 2020 & forward to the future of FOGGS,FOGGS,2020-12-23T17:11:10+00:00,,78,0.358974358974359,0.05128205128205128,0
FOGGS Newsletter January 2021,Former UN Staff,2021-01-28T12:34:32+00:00,,3,0.6666666666666666,0.3333333333333333,0
FOGGS Newsletter January 2021 (final draft),Former UN Staff,2021-01-28T18:28:44+00:00,,3,0.6666666666666666,0.6666666666666666,0
FOGGS Newsletter January 2021 (draft Friday 29.),Former UN Staff,2021-01-29T14:31:12+00:00,,3,0.6666666666666666,0.6666666666666666,0
FOGGS Newsletter January 2021,"FOGGS (Emailing List, Team)",2021-01-29T18:13:37+00:00,,1982,0.28454869964303925,0.04385517593064763,8
FOGGS Newsletter January 2021 (Link for our Webpage),,,,0,0,0,0
FOGGS Newsletter February 2021,"FOGGS (Emailing List, Team)",2021-02-26T17:07:45+00:00,,1976,0.25563524590163933,0.040983606557377046,6
FOGGS Update March 19,"FOGGS (Emailing List, Team)",2021-03-19T16:04:35+00:00,,1962,0.2365038560411311,0.021593830334190232,8
FOGGS Update End of March,"FOGGS (Emailing List, Team)",2021-04-01T14:21:06+00:00,,1959,0.22982005141388176,0.02262210796915167,5
FOGGS Update April 20,"FOGGS (Emailing List, Team)",2021-04-20T13:17:41+00:00,,1951,0.22973670624677336,0.016520392359318535,7
FOGGS Update May 6,"FOGGS (Emailing List, Team)",2021-05-06T13:14:44+00:00,,1941,0.2348051948051948,0.014025974025974027,4
FOGGS Update June,"FOGGS (Emailing List, Team)",2021-06-08T09:00:00+00:00,,1999,0.2767137096774194,0.018145161290322582,5
FOGGS Update July,"FOGGS (Emailing List, Team)",2021-07-08T09:00:00+00:00,,1993,0.23314749113025848,0.021794221996958945,8
India SDG Report to Indians,Former UN Staff,2021-08-05T10:01:40+00:00,,68,0.1076923076923077,0,0
FOGGS Update August,"FOGGS (Emailing List, Team)",2021-08-17T09:00:00+00:00,,1982,0.26785714285714285,0.026020408163265306,12
FOGGS Update October,"FOGGS (Emailing List, Team)",2021-10-05T09:00:00+00:00,,1964,0.21899325376232487,0.033731188375713546,7
FOGGS Update UN Day,"FOGGS (Emailing List, Team)",2021-10-24T11:48:13+00:00,,1947,0.31927083333333334,0.06302083333333333,8
FOGGS Update November 2021,"FOGGS (Emailing List, Team)",2021-11-17T10:31:50+00:00,,1937,0.42102510460251047,0.027196652719665274,8
FOGGS Update November 2021 (copy 01),FOGGS,2021-11-17T11:38:13+00:00,,78,0.4666666666666667,0.013333333333333334,0
Test 1,Former UN Staff,2021-12-02T06:10:18+00:00,,5,0.8,0.4,0
,Former UN Staff,2021-12-04T15:02:12+00:00,,3,1,0,0
 (copy 01),Former UN Staff,2021-12-04T19:37:22+00:00,,4,1,0.25,0
 (copy 02),Former UN Staff,2021-12-06T10:00:00+00:00,,54,0.5849056603773585,0.09433962264150944,0
FOGGS Update December 2021,"FOGGS (Emailing List, Team)",2021-12-22T10:00:00+00:00,,1925,0.29023746701846964,0.02321899736147757,4
FOGGS Update December 2021 (copy 01),FOGGS,2021-12-22T10:00:00+00:00,,84,0.3493975903614458,0.03614457831325301,0
FOGGS Update January 2022,"FOGGS (Emailing List, Team)",2022-01-31T12:11:52+00:00,,1914,0.3363491218733369,0.06279936136242682,9
FOGGS Update January 2022 (copy 01),FOGGS,2022-01-31T12:13:46+00:00,,86,0.36046511627906974,0.05813953488372093,2
FOGGS Update February-March 2022,"FOGGS (Emailing List, Team)",2022-03-17T10:30:00+00:00,,1893,0.2998927038626609,0.039163090128755365,6
FOGGS Update February-March 2022 (copy 01),FOGGS,2022-03-17T10:30:00+00:00,,132,0.46153846153846156,0.1076923076923077,0
,Former UN Staff,2022-04-19T07:00:00+00:00,,199,0.8844221105527639,0.5326633165829145,0
FOGGS Update April 2022,FOGGS,2022-05-06T09:00:00+00:00,,152,0.3815789473684211,0.09210526315789473,0
Update UNSG Letter with Addendum,Former UN Staff,2022-04-29T15:39:22+00:00,,265,0.8188679245283019,0.37735849056603776,0
FOGGS Update April 2022 (copy 01),"FOGGS (Emailing List, Team)",2022-05-06T09:00:00+00:00,,1876,0.3174431202600217,0.020585048754062838,7
Second letter of former UN system staff to the UNSG on Ukraine,Former UN Staff,2022-05-13T14:34:57+00:00,,265,0.821969696969697,0.4962121212121212,0
Second letter of former UN system staff to the UNSG on Ukraine (copy 01),Former UN Staff,2022-05-16T13:55:37+00:00,,265,0.7886792452830189,0.007547169811320755,0
Invite to join Teams,Former UN Staff,2022-06-03T10:29:58+00:00,,265,0.7886792452830189,0.0037735849056603774,0
FOGGS Update June 2022,"FOGGS (Emailing List, Team)",2022-06-16T12:09:24+00:00,,1883,0.3333333333333333,0.02392604676454595,7
